_id,Year,Month,State,ATC_Classification,Scheme,Services,Benefits($)
48,2015,January,VIC,Alimentary Tract and Metabolism,Normal Arrangements PBS,429876,13914955
49,2015,January,VIC,Alimentary Tract and Metabolism,Special Arrangements PBS,632,11052
50,2015,January,VIC,Alimentary Tract and Metabolism,Normal Arrangements RPBS,19669,434990
51,2015,January,VIC,Alimentary Tract and Metabolism,Special Arrangements RPBS,14,124
52,2015,January,VIC,Blood and Blood Forming Organs,Normal Arrangements PBS,121191,4301639
53,2015,January,VIC,Blood and Blood Forming Organs,Special Arrangements PBS,1354,1648323
54,2015,January,VIC,Blood and Blood Forming Organs,Normal Arrangements RPBS,7619,214765
55,2015,January,VIC,Blood and Blood Forming Organs,Special Arrangements RPBS,75,81469
56,2015,January,VIC,Cardiovascular System,Normal Arrangements PBS,898887,16858262
57,2015,January,VIC,Cardiovascular System,Special Arrangements PBS,136,370020
58,2015,January,VIC,Cardiovascular System,Normal Arrangements RPBS,35743,592356
59,2015,January,VIC,Cardiovascular System,Special Arrangements RPBS,6,11127
60,2015,January,VIC,Dermatologicals,Normal Arrangements PBS,47827,1019044
61,2015,January,VIC,Dermatologicals,Normal Arrangements RPBS,2199,48770
62,2015,January,VIC,Genito Urinary System and Sex Hormones,Normal Arrangements PBS,43194,1688617
63,2015,January,VIC,Genito Urinary System and Sex Hormones,Normal Arrangements RPBS,1513,71778
64,2015,January,VIC,"Systemic Hormonal Preparations, excl. Sex Hormones",Normal Arrangements PBS,48782,867022
65,2015,January,VIC,"Systemic Hormonal Preparations, excl. Sex Hormones",Special Arrangements PBS,254,492782
66,2015,January,VIC,"Systemic Hormonal Preparations, excl. Sex Hormones",Normal Arrangements RPBS,1837,29192
67,2015,January,VIC,"Systemic Hormonal Preparations, excl. Sex Hormones",Special Arrangements RPBS,4,7962
68,2015,January,VIC,General Anti-Infectives for Systemic Use,Normal Arrangements PBS,175767,3930051
69,2015,January,VIC,General Anti-Infectives for Systemic Use,Special Arrangements PBS,2707,3828247
70,2015,January,VIC,General Anti-Infectives for Systemic Use,Normal Arrangements RPBS,5872,72212
71,2015,January,VIC,General Anti-Infectives for Systemic Use,Special Arrangements RPBS,1,4492
72,2015,January,VIC,Anti-Neoplastic and Immunomodulating Agents,Normal Arrangements PBS,38696,26657059
73,2015,January,VIC,Anti-Neoplastic and Immunomodulating Agents,Special Arrangements PBS,3013,4646023
74,2015,January,VIC,Anti-Neoplastic and Immunomodulating Agents,Normal Arrangements RPBS,718,453979
75,2015,January,VIC,Anti-Neoplastic and Immunomodulating Agents,Special Arrangements RPBS,21,52645
76,2015,January,VIC,Musculo-Skeletal System,Normal Arrangements PBS,105910,3284585
77,2015,January,VIC,Musculo-Skeletal System,Special Arrangements PBS,549,248939
78,2015,January,VIC,Musculo-Skeletal System,Normal Arrangements RPBS,4122,143426
79,2015,January,VIC,Musculo-Skeletal System,Special Arrangements RPBS,21,9707
80,2015,January,VIC,Nervous System,Normal Arrangements PBS,650507,18061665
81,2015,January,VIC,Nervous System,Special Arrangements PBS,2339,326135
82,2015,January,VIC,Nervous System,Normal Arrangements RPBS,26765,576680
83,2015,January,VIC,Nervous System,Special Arrangements RPBS,6,331
84,2015,January,VIC,Anti-Parasitic Products,Normal Arrangements PBS,818,14250
85,2015,January,VIC,Anti-Parasitic Products,Normal Arrangements RPBS,34,446
86,2015,January,VIC,Respiratory System,Normal Arrangements PBS,154283,6953858
87,2015,January,VIC,Respiratory System,Special Arrangements PBS,85,196419
88,2015,January,VIC,Respiratory System,Normal Arrangements RPBS,5999,300778
89,2015,January,VIC,Sensory Organs,Normal Arrangements PBS,112805,4503718
90,2015,January,VIC,Sensory Organs,Normal Arrangements RPBS,7190,455842
91,2015,January,VIC,Various +,Normal Arrangements PBS,8312,1081400
92,2015,January,VIC,Various +,Special Arrangements PBS,304,350508
93,2015,January,VIC,Various +,Normal Arrangements RPBS,413,29647
94,2015,January,VIC,Various +,Special Arrangements RPBS,6,10752
95,2015,January,VIC,Other ++,Normal Arrangements PBS,2663,62801
96,2015,January,VIC,Other ++,Normal Arrangements RPBS,9775,215460
97,2015,January,QLD,Alimentary Tract and Metabolism,Normal Arrangements PBS,623668,21345238
98,2015,January,QLD,Alimentary Tract and Metabolism,Special Arrangements PBS,1215,13229
99,2015,January,QLD,Alimentary Tract and Metabolism,Normal Arrangements RPBS,42196,1067458
100,2015,January,QLD,Alimentary Tract and Metabolism,Special Arrangements RPBS,8,70
101,2015,January,QLD,Blood and Blood Forming Organs,Normal Arrangements PBS,201784,7270288
102,2015,January,QLD,Blood and Blood Forming Organs,Special Arrangements PBS,2140,2447785
103,2015,January,QLD,Blood and Blood Forming Organs,Normal Arrangements RPBS,17391,543730
104,2015,January,QLD,Blood and Blood Forming Organs,Special Arrangements RPBS,178,165870
105,2015,January,QLD,Cardiovascular System,Normal Arrangements PBS,1296616,25121125
106,2015,January,QLD,Cardiovascular System,Special Arrangements PBS,297,887791
107,2015,January,QLD,Cardiovascular System,Normal Arrangements RPBS,78153,1444301
108,2015,January,QLD,Cardiovascular System,Special Arrangements RPBS,11,38089
109,2015,January,QLD,Dermatologicals,Normal Arrangements PBS,51199,1129376
110,2015,January,QLD,Dermatologicals,Normal Arrangements RPBS,5643,124917
111,2015,January,QLD,Genito Urinary System and Sex Hormones,Normal Arrangements PBS,72767,2953455
112,2015,January,QLD,Genito Urinary System and Sex Hormones,Normal Arrangements RPBS,5218,304275
113,2015,January,QLD,"Systemic Hormonal Preparations, excl. Sex Hormones",Normal Arrangements PBS,75653,1446057
114,2015,January,QLD,"Systemic Hormonal Preparations, excl. Sex Hormones",Special Arrangements PBS,389,822246
115,2015,January,QLD,"Systemic Hormonal Preparations, excl. Sex Hormones",Normal Arrangements RPBS,3594,65958
116,2015,January,QLD,"Systemic Hormonal Preparations, excl. Sex Hormones",Special Arrangements RPBS,18,36742
117,2015,January,QLD,General Anti-Infectives for Systemic Use,Normal Arrangements PBS,268926,6071385
118,2015,January,QLD,General Anti-Infectives for Systemic Use,Special Arrangements PBS,2401,2797649
119,2015,January,QLD,General Anti-Infectives for Systemic Use,Normal Arrangements RPBS,12148,189253
120,2015,January,QLD,General Anti-Infectives for Systemic Use,Special Arrangements RPBS,34,45561
121,2015,January,QLD,Anti-Neoplastic and Immunomodulating Agents,Normal Arrangements PBS,61171,40030250
122,2015,January,QLD,Anti-Neoplastic and Immunomodulating Agents,Special Arrangements PBS,5890,9755062
123,2015,January,QLD,Anti-Neoplastic and Immunomodulating Agents,Normal Arrangements RPBS,1942,1305188
124,2015,January,QLD,Anti-Neoplastic and Immunomodulating Agents,Special Arrangements RPBS,83,189647
125,2015,January,QLD,Musculo-Skeletal System,Normal Arrangements PBS,181460,5716266
126,2015,January,QLD,Musculo-Skeletal System,Special Arrangements PBS,1178,460993
127,2015,January,QLD,Musculo-Skeletal System,Normal Arrangements RPBS,10643,352554
128,2015,January,QLD,Musculo-Skeletal System,Special Arrangements RPBS,47,18933
129,2015,January,QLD,Nervous System,Normal Arrangements PBS,1055908,29731994
130,2015,January,QLD,Nervous System,Special Arrangements PBS,4582,479199
131,2015,January,QLD,Nervous System,Normal Arrangements RPBS,64166,1470062
132,2015,January,QLD,Nervous System,Special Arrangements RPBS,8,12777
133,2015,January,QLD,Anti-Parasitic Products,Normal Arrangements PBS,2096,56744
134,2015,January,QLD,Anti-Parasitic Products,Normal Arrangements RPBS,59,1844
135,2015,January,QLD,Respiratory System,Normal Arrangements PBS,236587,10756446
136,2015,January,QLD,Respiratory System,Special Arrangements PBS,167,342191
137,2015,January,QLD,Respiratory System,Normal Arrangements RPBS,13166,639308
138,2015,January,QLD,Sensory Organs,Normal Arrangements PBS,165025,8084238
139,2015,January,QLD,Sensory Organs,Normal Arrangements RPBS,15708,1099469
140,2015,January,QLD,Various +,Normal Arrangements PBS,10009,1376235
141,2015,January,QLD,Various +,Special Arrangements PBS,392,467309
142,2015,January,QLD,Various +,Normal Arrangements RPBS,1212,83047
143,2015,January,QLD,Various +,Special Arrangements RPBS,19,35433
144,2015,January,QLD,Other ++,Normal Arrangements PBS,3412,43515
145,2015,January,QLD,Other ++,Normal Arrangements RPBS,26096,689330
146,2015,January,SA,Alimentary Tract and Metabolism,Normal Arrangements PBS,302542,10033918
147,2015,January,SA,Alimentary Tract and Metabolism,Special Arrangements PBS,685,18957
148,2015,January,SA,Alimentary Tract and Metabolism,Normal Arrangements RPBS,14038,327515
149,2015,January,SA,Alimentary Tract and Metabolism,Special Arrangements RPBS,9,273
150,2015,January,SA,Blood and Blood Forming Organs,Normal Arrangements PBS,101707,3383538
151,2015,January,SA,Blood and Blood Forming Organs,Special Arrangements PBS,1109,1466515
152,2015,January,SA,Blood and Blood Forming Organs,Normal Arrangements RPBS,6410,176172
153,2015,January,SA,Blood and Blood Forming Organs,Special Arrangements RPBS,42,33157
154,2015,January,SA,Cardiovascular System,Normal Arrangements PBS,651791,12526417
155,2015,January,SA,Cardiovascular System,Special Arrangements PBS,173,475124
156,2015,January,SA,Cardiovascular System,Normal Arrangements RPBS,27321,473940
157,2015,January,SA,Cardiovascular System,Special Arrangements RPBS,3,8770
158,2015,January,SA,Dermatologicals,Normal Arrangements PBS,28304,604513
159,2015,January,SA,Dermatologicals,Normal Arrangements RPBS,1811,38273
160,2015,January,SA,Genito Urinary System and Sex Hormones,Normal Arrangements PBS,40879,1370660
161,2015,January,SA,Genito Urinary System and Sex Hormones,Normal Arrangements RPBS,1633,86123
162,2015,January,SA,"Systemic Hormonal Preparations, excl. Sex Hormones",Normal Arrangements PBS,35336,676800
163,2015,January,SA,"Systemic Hormonal Preparations, excl. Sex Hormones",Special Arrangements PBS,212,471173
164,2015,January,SA,"Systemic Hormonal Preparations, excl. Sex Hormones",Normal Arrangements RPBS,1157,18545
165,2015,January,SA,"Systemic Hormonal Preparations, excl. Sex Hormones",Special Arrangements RPBS,9,23806
166,2015,January,SA,General Anti-Infectives for Systemic Use,Normal Arrangements PBS,106171,2420116
167,2015,January,SA,General Anti-Infectives for Systemic Use,Special Arrangements PBS,1680,1798632
168,2015,January,SA,General Anti-Infectives for Systemic Use,Normal Arrangements RPBS,3589,48411
169,2015,January,SA,General Anti-Infectives for Systemic Use,Special Arrangements RPBS,12,15935
170,2015,January,SA,Anti-Neoplastic and Immunomodulating Agents,Normal Arrangements PBS,29659,19609694
171,2015,January,SA,Anti-Neoplastic and Immunomodulating Agents,Special Arrangements PBS,3103,5460375
172,2015,January,SA,Anti-Neoplastic and Immunomodulating Agents,Normal Arrangements RPBS,554,284525
173,2015,January,SA,Anti-Neoplastic and Immunomodulating Agents,Special Arrangements RPBS,28,72831
174,2015,January,SA,Musculo-Skeletal System,Normal Arrangements PBS,82469,2576212
175,2015,January,SA,Musculo-Skeletal System,Special Arrangements PBS,378,133961
176,2015,January,SA,Musculo-Skeletal System,Normal Arrangements RPBS,3416,111538
177,2015,January,SA,Musculo-Skeletal System,Special Arrangements RPBS,9,2735
178,2015,January,SA,Nervous System,Normal Arrangements PBS,488348,13495422
179,2015,January,SA,Nervous System,Special Arrangements PBS,2608,354702
180,2015,January,SA,Nervous System,Normal Arrangements RPBS,21278,470128
181,2015,January,SA,Nervous System,Special Arrangements RPBS,12,7242
182,2015,January,SA,Anti-Parasitic Products,Normal Arrangements PBS,620,10284
183,2015,January,SA,Anti-Parasitic Products,Normal Arrangements RPBS,18,265
184,2015,January,SA,Respiratory System,Normal Arrangements PBS,115680,5004793
185,2015,January,SA,Respiratory System,Special Arrangements PBS,86,184467
186,2015,January,SA,Respiratory System,Normal Arrangements RPBS,4414,208686
187,2015,January,SA,Sensory Organs,Normal Arrangements PBS,71305,3090994
188,2015,January,SA,Sensory Organs,Normal Arrangements RPBS,5140,250441
189,2015,January,SA,Various +,Normal Arrangements PBS,4022,515260
190,2015,January,SA,Various +,Special Arrangements PBS,186,267623
191,2015,January,SA,Various +,Normal Arrangements RPBS,214,16727
192,2015,January,SA,Other ++,Normal Arrangements PBS,1072,17425
193,2015,January,SA,Other ++,Normal Arrangements RPBS,6294,166805
194,2015,January,WA,Alimentary Tract and Metabolism,Normal Arrangements PBS,307151,10230437
195,2015,January,WA,Alimentary Tract and Metabolism,Special Arrangements PBS,589,14320
196,2015,January,WA,Alimentary Tract and Metabolism,Normal Arrangements RPBS,15282,359916
197,2015,January,WA,Alimentary Tract and Metabolism,Special Arrangements RPBS,4,113
198,2015,January,WA,Blood and Blood Forming Organs,Normal Arrangements PBS,99292,3816611
199,2015,January,WA,Blood and Blood Forming Organs,Special Arrangements PBS,1314,1692596
200,2015,January,WA,Blood and Blood Forming Organs,Normal Arrangements RPBS,6308,190711
201,2015,January,WA,Blood and Blood Forming Organs,Special Arrangements RPBS,53,58051
202,2015,January,WA,Cardiovascular System,Normal Arrangements PBS,618868,11608402
203,2015,January,WA,Cardiovascular System,Special Arrangements PBS,173,412411
204,2015,January,WA,Cardiovascular System,Normal Arrangements RPBS,27367,479246
205,2015,January,WA,Cardiovascular System,Special Arrangements RPBS,9,17777
206,2015,January,WA,Dermatologicals,Normal Arrangements PBS,28685,665091
207,2015,January,WA,Dermatologicals,Normal Arrangements RPBS,1938,43265
208,2015,January,WA,Genito Urinary System and Sex Hormones,Normal Arrangements PBS,36066,1549381
209,2015,January,WA,Genito Urinary System and Sex Hormones,Normal Arrangements RPBS,2056,120828
210,2015,January,WA,"Systemic Hormonal Preparations, excl. Sex Hormones",Normal Arrangements PBS,34841,703541
211,2015,January,WA,"Systemic Hormonal Preparations, excl. Sex Hormones",Special Arrangements PBS,298,525384
212,2015,January,WA,"Systemic Hormonal Preparations, excl. Sex Hormones",Normal Arrangements RPBS,1296,21013
213,2015,January,WA,"Systemic Hormonal Preparations, excl. Sex Hormones",Special Arrangements RPBS,3,4828
214,2015,January,WA,General Anti-Infectives for Systemic Use,Normal Arrangements PBS,107514,3125183
215,2015,January,WA,General Anti-Infectives for Systemic Use,Special Arrangements PBS,2171,2143941
216,2015,January,WA,General Anti-Infectives for Systemic Use,Normal Arrangements RPBS,3947,53739
217,2015,January,WA,General Anti-Infectives for Systemic Use,Special Arrangements RPBS,11,11871
218,2015,January,WA,Anti-Neoplastic and Immunomodulating Agents,Normal Arrangements PBS,38164,28985157
219,2015,January,WA,Anti-Neoplastic and Immunomodulating Agents,Special Arrangements PBS,4831,7506168
220,2015,January,WA,Anti-Neoplastic and Immunomodulating Agents,Normal Arrangements RPBS,757,433360
221,2015,January,WA,Anti-Neoplastic and Immunomodulating Agents,Special Arrangements RPBS,48,73965
222,2015,January,WA,Musculo-Skeletal System,Normal Arrangements PBS,83284,2578786
223,2015,January,WA,Musculo-Skeletal System,Special Arrangements PBS,394,184137
224,2015,January,WA,Musculo-Skeletal System,Normal Arrangements RPBS,3660,115981
225,2015,January,WA,Musculo-Skeletal System,Special Arrangements RPBS,21,9226
226,2015,January,WA,Nervous System,Normal Arrangements PBS,510214,14264351
227,2015,January,WA,Nervous System,Special Arrangements PBS,2928,287117
228,2015,January,WA,Nervous System,Normal Arrangements RPBS,22117,485018
229,2015,January,WA,Nervous System,Special Arrangements RPBS,3,4670
230,2015,January,WA,Anti-Parasitic Products,Normal Arrangements PBS,734,20189
231,2015,January,WA,Anti-Parasitic Products,Normal Arrangements RPBS,20,813
232,2015,January,WA,Respiratory System,Normal Arrangements PBS,102385,4821703
233,2015,January,WA,Respiratory System,Special Arrangements PBS,112,181303
234,2015,January,WA,Respiratory System,Normal Arrangements RPBS,4097,201210
235,2015,January,WA,Sensory Organs,Normal Arrangements PBS,79276,4328061
236,2015,January,WA,Sensory Organs,Normal Arrangements RPBS,5858,418287
237,2015,January,WA,Various +,Normal Arrangements PBS,3059,430689
238,2015,January,WA,Various +,Special Arrangements PBS,172,226666
239,2015,January,WA,Various +,Normal Arrangements RPBS,225,14868
240,2015,January,WA,Various +,Special Arrangements RPBS,3,1383
241,2015,January,WA,Other ++,Normal Arrangements PBS,1247,18473
242,2015,January,WA,Other ++,Normal Arrangements RPBS,8019,199160
243,2015,January,TAS,Alimentary Tract and Metabolism,Normal Arrangements PBS,87842,2913153
244,2015,January,TAS,Alimentary Tract and Metabolism,Special Arrangements PBS,1,7
245,2015,January,TAS,Alimentary Tract and Metabolism,Normal Arrangements RPBS,4921,121350
246,2015,January,TAS,Blood and Blood Forming Organs,Normal Arrangements PBS,23874,858337
247,2015,January,TAS,Blood and Blood Forming Organs,Special Arrangements PBS,214,211292
248,2015,January,TAS,Blood and Blood Forming Organs,Normal Arrangements RPBS,1978,54018
249,2015,January,TAS,Blood and Blood Forming Organs,Special Arrangements RPBS,7,7982
250,2015,January,TAS,Cardiovascular System,Normal Arrangements PBS,182830,3586408
251,2015,January,TAS,Cardiovascular System,Special Arrangements PBS,120,337759
252,2015,January,TAS,Cardiovascular System,Normal Arrangements RPBS,9461,156350
253,2015,January,TAS,Cardiovascular System,Special Arrangements RPBS,3,8705
254,2015,January,TAS,Dermatologicals,Normal Arrangements PBS,8275,199867
255,2015,January,TAS,Dermatologicals,Normal Arrangements RPBS,571,11967
256,2015,January,TAS,Genito Urinary System and Sex Hormones,Normal Arrangements PBS,10428,356093
257,2015,January,TAS,Genito Urinary System and Sex Hormones,Normal Arrangements RPBS,429,21742
258,2015,January,TAS,"Systemic Hormonal Preparations, excl. Sex Hormones",Normal Arrangements PBS,12017,185292
259,2015,January,TAS,"Systemic Hormonal Preparations, excl. Sex Hormones",Special Arrangements PBS,65,109732
260,2015,January,TAS,"Systemic Hormonal Preparations, excl. Sex Hormones",Normal Arrangements RPBS,573,8685
261,2015,January,TAS,General Anti-Infectives for Systemic Use,Normal Arrangements PBS,30300,509817
262,2015,January,TAS,General Anti-Infectives for Systemic Use,Special Arrangements PBS,180,209715
263,2015,January,TAS,General Anti-Infectives for Systemic Use,Normal Arrangements RPBS,1385,17162
264,2015,January,TAS,General Anti-Infectives for Systemic Use,Special Arrangements RPBS,2,2849
265,2015,January,TAS,Anti-Neoplastic and Immunomodulating Agents,Normal Arrangements PBS,8625,6091937
266,2015,January,TAS,Anti-Neoplastic and Immunomodulating Agents,Special Arrangements PBS,836,1366594
267,2015,January,TAS,Anti-Neoplastic and Immunomodulating Agents,Normal Arrangements RPBS,209,105704
268,2015,January,TAS,Anti-Neoplastic and Immunomodulating Agents,Special Arrangements RPBS,3,5794
269,2015,January,TAS,Musculo-Skeletal System,Normal Arrangements PBS,22290,660769
270,2015,January,TAS,Musculo-Skeletal System,Special Arrangements PBS,115,51633
271,2015,January,TAS,Musculo-Skeletal System,Normal Arrangements RPBS,1052,34077
272,2015,January,TAS,Nervous System,Normal Arrangements PBS,151208,3993855
273,2015,January,TAS,Nervous System,Special Arrangements PBS,522,41080
274,2015,January,TAS,Nervous System,Normal Arrangements RPBS,7360,161276
275,2015,January,TAS,Anti-Parasitic Products,Normal Arrangements PBS,151,3689
276,2015,January,TAS,Anti-Parasitic Products,Normal Arrangements RPBS,12,342
277,2015,January,TAS,Respiratory System,Normal Arrangements PBS,34015,1521024
278,2015,January,TAS,Respiratory System,Special Arrangements PBS,20,43520
279,2015,January,TAS,Respiratory System,Normal Arrangements RPBS,1472,73179
280,2015,January,TAS,Sensory Organs,Normal Arrangements PBS,20818,1449446
281,2015,January,TAS,Sensory Organs,Normal Arrangements RPBS,1772,225069
282,2015,January,TAS,Various +,Normal Arrangements PBS,766,112702
283,2015,January,TAS,Various +,Special Arrangements PBS,25,17829
284,2015,January,TAS,Various +,Normal Arrangements RPBS,94,5798
285,2015,January,TAS,Various +,Special Arrangements RPBS,2,4219
286,2015,January,TAS,Other ++,Normal Arrangements PBS,372,5428
287,2015,January,TAS,Other ++,Normal Arrangements RPBS,3271,70203
288,2015,January,ACT,Alimentary Tract and Metabolism,Normal Arrangements PBS,23745,827416
289,2015,January,ACT,Alimentary Tract and Metabolism,Normal Arrangements RPBS,1718,45273
290,2015,January,ACT,Blood and Blood Forming Organs,Normal Arrangements PBS,7740,298331
291,2015,January,ACT,Blood and Blood Forming Organs,Special Arrangements PBS,137,148422
292,2015,January,ACT,Blood and Blood Forming Organs,Normal Arrangements RPBS,745,20615
293,2015,January,ACT,Blood and Blood Forming Organs,Special Arrangements RPBS,8,6028
294,2015,January,ACT,Cardiovascular System,Normal Arrangements PBS,48842,882886
295,2015,January,ACT,Cardiovascular System,Special Arrangements PBS,9,24033
296,2015,January,ACT,Cardiovascular System,Normal Arrangements RPBS,3438,61258
297,2015,January,ACT,Dermatologicals,Normal Arrangements PBS,2427,59748
298,2015,January,ACT,Dermatologicals,Normal Arrangements RPBS,210,5391
299,2015,January,ACT,Genito Urinary System and Sex Hormones,Normal Arrangements PBS,2820,175307
300,2015,January,ACT,Genito Urinary System and Sex Hormones,Normal Arrangements RPBS,240,12451
301,2015,January,ACT,"Systemic Hormonal Preparations, excl. Sex Hormones",Normal Arrangements PBS,2545,68557
302,2015,January,ACT,"Systemic Hormonal Preparations, excl. Sex Hormones",Special Arrangements PBS,14,18023
303,2015,January,ACT,"Systemic Hormonal Preparations, excl. Sex Hormones",Normal Arrangements RPBS,148,4608
304,2015,January,ACT,"Systemic Hormonal Preparations, excl. Sex Hormones",Special Arrangements RPBS,1,4396
305,2015,January,ACT,General Anti-Infectives for Systemic Use,Normal Arrangements PBS,9375,218372
306,2015,January,ACT,General Anti-Infectives for Systemic Use,Special Arrangements PBS,266,291518
307,2015,January,ACT,General Anti-Infectives for Systemic Use,Normal Arrangements RPBS,542,6126
308,2015,January,ACT,Anti-Neoplastic and Immunomodulating Agents,Normal Arrangements PBS,3065,2133122
309,2015,January,ACT,Anti-Neoplastic and Immunomodulating Agents,Special Arrangements PBS,451,776676
310,2015,January,ACT,Anti-Neoplastic and Immunomodulating Agents,Normal Arrangements RPBS,108,64560
311,2015,January,ACT,Anti-Neoplastic and Immunomodulating Agents,Special Arrangements RPBS,6,33814
312,2015,January,ACT,Musculo-Skeletal System,Normal Arrangements PBS,6661,235394
313,2015,January,ACT,Musculo-Skeletal System,Special Arrangements PBS,68,26844
314,2015,January,ACT,Musculo-Skeletal System,Normal Arrangements RPBS,425,17737
315,2015,January,ACT,Musculo-Skeletal System,Special Arrangements RPBS,3,1406
316,2015,January,ACT,Nervous System,Normal Arrangements PBS,38865,1322479
317,2015,January,ACT,Nervous System,Special Arrangements PBS,157,18697
318,2015,January,ACT,Nervous System,Normal Arrangements RPBS,2376,61843
319,2015,January,ACT,Nervous System,Special Arrangements RPBS,3,154
320,2015,January,ACT,Anti-Parasitic Products,Normal Arrangements PBS,53,939
321,2015,January,ACT,Respiratory System,Normal Arrangements PBS,10167,421619
322,2015,January,ACT,Respiratory System,Special Arrangements PBS,4,9416
323,2015,January,ACT,Respiratory System,Normal Arrangements RPBS,530,27123
324,2015,January,ACT,Sensory Organs,Normal Arrangements PBS,5568,594222
325,2015,January,ACT,Sensory Organs,Normal Arrangements RPBS,605,75325
326,2015,January,ACT,Various +,Normal Arrangements PBS,231,68771
327,2015,January,ACT,Various +,Special Arrangements PBS,10,16351
328,2015,January,ACT,Various +,Normal Arrangements RPBS,54,5347
329,2015,January,ACT,Other ++,Normal Arrangements PBS,202,7572
330,2015,January,ACT,Other ++,Normal Arrangements RPBS,1196,93137
331,2015,January,NT,Alimentary Tract and Metabolism,Normal Arrangements PBS,12713,463124
332,2015,January,NT,Alimentary Tract and Metabolism,Normal Arrangements RPBS,385,9880
333,2015,January,NT,Blood and Blood Forming Organs,Normal Arrangements PBS,3687,118729
334,2015,January,NT,Blood and Blood Forming Organs,Special Arrangements PBS,237,154698
335,2015,January,NT,Blood and Blood Forming Organs,Normal Arrangements RPBS,135,3180
336,2015,January,NT,Blood and Blood Forming Organs,Special Arrangements RPBS,4,4143
337,2015,January,NT,Cardiovascular System,Normal Arrangements PBS,26244,463600
